symbol,side,exit_reason,post_reached_original_tp,post_minutes_to_original_tp,post_max_favorable_pips_after,post_moved_original_direction,post_plus_0_5r,post_plus_1r,post_plus_2r,post_5m_pips,post_15m_pips,post_30m_pips,post_60m_pips
EUR_USD,BUY,sl,True,470.0,350.5,True,True,True,True,-1.8,-1.4,-4.8,-4.1
EUR_USD,BUY,sl,True,435.0,351.3,True,True,True,True,-5.0,-7.8,-7.8,-8.2
EUR_USD,BUY,sl,True,345.0,358.1,True,True,True,True,-5.3,-1.0,4.0,4.4
EUR_USD,BUY,sl,True,255.0,359.9,True,True,True,True,-9.2,-3.8,-2.2,-1.2
EUR_USD,SELL,sl,True,4705.0,388.4,True,True,True,True,-10.8,-8.6,-9.0,-6.1
EUR_USD,SELL,sl,True,4495.0,398.2,True,True,True,True,-0.5,-4.3,-0.4,-20.8
EUR_USD,SELL,sl,True,4415.0,397.7,True,True,True,True,-13.8,-23.5,-18.9,-23.5
EUR_USD,BUY,sl,True,1055.0,346.0,True,True,True,True,-11.6,-6.2,-7.7,-8.5
EUR_USD,SELL,sl,True,3375.0,402.2,True,True,True,True,-5.4,-7.9,-11.5,-10.6
EUR_USD,BUY,sl,True,1280.0,329.5,True,True,True,True,-7.4,-8.0,-5.3,-7.6
EUR_USD,BUY,sl,True,1070.0,336.5,True,True,True,True,-9.1,-7.5,-7.3,-3.4
EUR_USD,BUY,sl,True,255.0,341.3,True,True,True,True,-6.6,-6.6,-20.4,-11.2
EUR_USD,SELL,sl,True,2905.0,401.3,True,True,True,True,-11.3,-2.1,-17.5,-23.9
EUR_USD,SELL,sl,True,2885.0,404.8,True,True,True,True,-17.2,-8.4,-20.4,-12.1
EUR_USD,SELL,sl,True,1045.0,421.0,True,True,True,True,-11.0,-8.3,-10.8,-3.8
EUR_USD,BUY,sl,True,760.0,327.9,True,True,True,True,-10.0,-11.3,-18.8,-15.8
EUR_USD,BUY,sl,True,630.0,336.9,True,True,True,True,-6.3,-6.7,-6.8,-8.9
EUR_USD,BUY,sl,True,475.0,342.2,True,True,True,True,-5.4,-5.1,-5.1,-4.9
EUR_USD,SELL,sl,True,735.0,409.9,True,True,True,True,-3.7,-2.9,-0.5,-3.7
EUR_USD,SELL,sl,True,665.0,410.0,True,True,True,True,-7.4,-6.4,-4.4,4.0
EUR_USD,SELL,sl,True,605.0,406.4,True,True,True,True,-6.8,-4.0,-4.4,-4.4
EUR_USD,SELL,sl,True,355.0,412.2,True,True,True,True,-7.0,-8.2,-12.2,-22.1
EUR_USD,BUY,sl,True,55.0,323.8,True,True,True,True,-5.4,-6.1,-4.1,11.5
EUR_USD,BUY,sl,True,109805.0,311.3,True,True,True,True,-19.6,-28.9,-22.0,-16.0
EUR_USD,BUY,sl,True,109645.0,329.9,True,True,True,True,-10.8,-13.5,-22.4,-32.2
EUR_USD,SELL,sl,True,265.0,414.1,True,True,True,True,-11.3,-16.0,-18.9,-14.1
EUR_USD,SELL,sl,True,170.0,424.4,True,True,True,True,-0.6,-8.6,-5.4,-8.8
EUR_USD,BUY,sl,True,109390.0,332.5,True,True,True,True,-3.0,2.1,-8.8,-19.6
EUR_USD,BUY,sl,True,109365.0,334.5,True,True,True,True,-6.8,-10.4,-22.1,-22.0
EUR_USD,BUY,sl,True,109300.0,340.3,True,True,True,True,-11.8,-18.4,-16.2,-19.1
EUR_USD,SELL,sl,True,495.0,405.4,True,True,True,True,-19.2,-21.2,-19.2,-23.0
EUR_USD,BUY,sl,True,106700.0,330.9,True,True,True,True,-11.4,-14.6,-14.0,-26.2
EUR_USD,BUY,sl,True,1465.0,344.5,True,True,True,True,-16.0,-16.1,-25.5,-28.2
EUR_USD,SELL,sl,True,5235.0,370.2,True,True,True,True,-15.4,-14.0,-20.1,-23.6
EUR_USD,SELL,sl,True,5180.0,383.4,True,True,True,True,-10.2,-9.4,-9.7,-9.6
EUR_USD,SELL,sl,True,4660.0,392.6,True,True,True,True,-5.2,-2.0,-3.1,-7.3
EUR_USD,BUY,sl,True,385.0,359.7,True,True,True,True,-4.2,-4.8,2.9,2.2
EUR_USD,BUY,sl,True,155.0,361.8,True,True,True,True,-1.6,-1.7,-3.3,-2.3
EUR_USD,BUY,sl,True,130.0,362.4,True,True,True,True,-4.7,-1.7,-1.3,2.2
EUR_USD,SELL,sl,True,3920.0,392.4,True,True,True,True,-6.0,-5.9,-8.4,-4.6
EUR_USD,SELL,sl,True,3810.0,399.8,True,True,True,True,-7.0,-4.2,-11.0,-14.0
EUR_USD,BUY,sl,True,106455.0,334.3,True,True,True,True,-8.8,-8.0,-7.8,-4.6
EUR_USD,BUY,sl,True,104935.0,342.1,True,True,True,True,-8.6,-7.2,-4.5,-2.0
EUR_USD,SELL,sl,True,3085.0,406.8,True,True,True,True,-6.6,-8.4,-8.5,-9.9
EUR_USD,SELL,sl,True,2935.0,414.2,True,True,True,True,-2.6,-3.7,-1.4,15.6
EUR_USD,BUY,sl,True,96165.0,340.7,True,True,True,True,-19.2,-14.2,-16.9,-19.4
EUR_USD,SELL,sl,True,105.0,397.6,True,True,True,True,-2.5,-3.3,-4.5,5.6
EUR_USD,SELL,sl,True,405.0,384.4,True,True,True,True,-7.6,-5.4,-3.8,-4.6
EUR_USD,SELL,sl,True,305.0,387.6,True,True,True,True,-10.6,-12.0,-15.7,-14.8
EUR_USD,SELL,sl,True,225.0,397.2,True,True,True,True,-8.4,-5.2,-5.3,-6.6
EUR_USD,SELL,sl,True,15.0,381.6,True,True,True,True,-2.4,14.0,7.8,-1.5
EUR_USD,SELL,sl,True,25.0,375.6,True,True,True,True,-5.5,-7.5,34.0,38.5
EUR_USD,SELL,sl,True,2440.0,337.2,True,True,True,True,-7.6,-1.5,-2.2,-2.4
EUR_USD,SELL,sl,True,2200.0,343.8,True,True,True,True,-19.8,-21.2,-23.5,-28.8
EUR_USD,SELL,sl,True,1060.0,369.0,True,True,True,True,-6.6,-9.0,-4.6,-22.9
EUR_USD,BUY,sl,True,15330.0,376.3,True,True,True,True,-8.6,-4.2,5.9,3.2
EUR_USD,BUY,sl,True,14445.0,380.3,True,True,True,True,-11.7,-12.7,-13.4,-17.2
EUR_USD,SELL,sl,True,555.0,340.2,True,True,True,True,-6.4,-9.5,-10.5,4.2
EUR_USD,SELL,sl,True,735.0,334.1,True,True,True,True,-2.3,2.1,-4.5,-10.3
EUR_USD,SELL,sl,True,695.0,335.4,True,True,True,True,-4.4,-7.8,-7.3,-7.7
EUR_USD,SELL,sl,True,260.0,341.4,True,True,True,True,-6.2,-3.7,-12.4,-11.2
EUR_USD,SELL,sl,True,180.0,328.3,True,True,True,True,-8.2,-6.0,-6.2,-4.3
EUR_USD,SELL,sl,True,10.0,330.7,True,True,True,True,2.5,8.2,7.8,5.3
EUR_USD,SELL,sl,True,620.0,288.8,True,True,True,True,-3.0,-2.0,-5.0,2.4
EUR_USD,SELL,sl,True,585.0,290.8,True,True,True,True,3.2,7.7,6.9,-3.1
EUR_USD,SELL,sl,True,580.0,286.6,True,True,True,True,-5.4,-7.3,-5.1,-20.4
EUR_USD,SELL,sl,True,510.0,292.9,True,True,True,True,-9.9,-14.1,-17.1,-6.2
EUR_USD,SELL,sl,True,95.0,301.8,True,True,True,True,-5.0,1.8,2.7,9.0
EUR_USD,BUY,sl,True,11015.0,450.7,True,True,True,True,-10.4,-18.8,-15.0,-22.8
EUR_USD,BUY,sl,True,260.0,460.1,True,True,True,True,-9.4,-2.9,-6.0,-11.6
EUR_USD,BUY,sl,True,195.0,464.7,True,True,True,True,-4.2,-1.0,9.0,15.3
EUR_USD,SELL,sl,True,1640.0,288.6,True,True,True,True,-14.2,-13.2,-16.7,-14.6
EUR_USD,SELL,sl,True,200.0,301.8,True,True,True,True,-4.4,-8.4,-6.6,-8.8
EUR_USD,BUY,sl,True,855.0,451.3,True,True,True,True,-10.2,-15.6,-14.4,-28.3
EUR_USD,SELL,sl,True,1205.0,278.0,True,True,True,True,-5.2,-12.5,-16.8,-20.0
EUR_USD,SELL,sl,True,1140.0,289.8,True,True,True,True,-5.0,-5.6,-8.9,-8.9
EUR_USD,SELL,sl,True,695.0,299.0,True,True,True,True,-4.9,-8.2,-5.2,-1.4
EUR_USD,BUY,sl,True,9645.0,440.8,True,True,True,True,-9.9,-13.7,-19.7,-24.1
EUR_USD,BUY,sl,True,8700.0,449.7,True,True,True,True,-4.8,-10.1,-14.8,-14.1
EUR_USD,BUY,sl,True,8670.0,453.5,True,True,True,True,-7.0,-11.0,-13.8,-15.2
EUR_USD,SELL,sl,True,30.0,293.0,True,True,True,True,0.2,3.2,6.0,5.7
EUR_USD,SELL,sl,True,280.0,286.0,True,True,True,True,-4.8,-6.2,-12.6,-15.0
EUR_USD,SELL,sl,True,245.0,289.8,True,True,True,True,-9.2,-9.9,-11.6,-3.7
