bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [INFO] 2026-09-22 22:21:22.300105: [EXECUTION] BROKER_FILL USD_JPY open fill=157.46300 unitsΓëê2.0000 id=3163 cid=cid-239ddf6d18aa4f8d8a4d179949dd5c5f
bot-1  | [INFO] 2026-09-22 22:21:22.301502: [OPEN] USD_JPY BUY units=2.00 entry=157.46300 mid=157.44000 SL=157.41240 TP=157.56420 kind=live broker_order=true cid=cid-239ddf6d18aa4f8d8a4d179949dd5c5f broker_id=3163 strategy=swing_breakout horizon=legacy
bot-1  | [INFO] 2026-09-22 22:23:24.782649: [EXECUTION] BROKER_FILL USD_JPY open fill=157.44400 unitsΓëê2.0000 id=3169 cid=cid-868759c88fbf4106b7a450820dcd636d
bot-1  | [INFO] 2026-09-22 22:23:24.785625: [OPEN] USD_JPY BUY units=2.00 entry=157.44400 mid=157.44000 SL=157.39340 TP=157.54520 kind=live broker_order=true cid=cid-868759c88fbf4106b7a450820dcd636d broker_id=3169 strategy=mean_reversion horizon=legacy
bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] GBP_USD open: OANDA response missing orderFillTransaction
bot-1  | [INFO] 2026-09-22 22:35:37.701680: [EXECUTION] BROKER_FILL GBP_USD open fill=1.33461 unitsΓëê1.0000 id=3183 cid=cid-4ddd3a933d47430aa4af478ebeef0267
bot-1  | [INFO] 2026-09-22 22:35:37.703533: [OPEN] GBP_USD BUY units=1.00 entry=1.33461 mid=1.33447 SL=1.33413 TP=1.33557 kind=live broker_order=true cid=cid-4ddd3a933d47430aa4af478ebeef0267 broker_id=3183 strategy=swing_breakout horizon=swing
bot-1  | [ORDER FAILED] AUD_USD open: OANDA response missing orderFillTransaction
bot-1  | [ORDER FAILED] AUD_USD open: OANDA response missing orderFillTransaction
bot-1  | [INFO] 2026-09-22 22:41:44.869517: [EXECUTION] BROKER_FILL USD_JPY open fill=157.42100 unitsΓëê2.0000 id=3191 cid=cid-0ff3d11b90464e358a077106d229d8eb
bot-1  | [INFO] 2026-09-22 22:41:44.872322: [OPEN] USD_JPY BUY units=2.00 entry=157.42100 mid=157.40200 SL=157.37760 TP=157.50780 kind=live broker_order=true cid=cid-0ff3d11b90464e358a077106d229d8eb broker_id=3191 strategy=swing_breakout horizon=legacy
